time,disp_y_max,react_y_top
0,0,0
1,8.3333333333333e-07,116.23576210114
2,1.6666666666667e-06,232.47152420229
3,2.5e-06,348.70728630343
4,3.3333333333333e-06,464.94304840457
5,4.1666666666667e-06,581.1788105057
6,5e-06,697.41457260684
7,5.8333333333333e-06,813.65033470799
8,6.6666666666667e-06,929.88609680913
9,7.5e-06,1046.1218589103
10,8.3333333333333e-06,1162.3576210114
11,9.1666666666667e-06,1278.5933831125
12,1e-05,1394.8291452137
13,1.0833333333333e-05,1511.0649073148
14,1.1666666666667e-05,1627.300669416
15,1.25e-05,1743.5364315171
16,1.3333333333333e-05,1859.7721936182
17,1.4166666666667e-05,1976.0079557194
18,1.5e-05,2092.2437178205
19,1.5833333333333e-05,2208.4794799217
20,1.6666666666667e-05,2324.7152420228
21,1.75e-05,2440.951004124
22,1.8333333333333e-05,2557.1867662251
23,1.9166666666667e-05,2673.4225283263
24,2e-05,2789.6582904274
