time,disp_y_max,react_y_top
0,0,0
1,8.3333333333333e-07,125.56937381123
2,1.6666666666667e-06,251.13874762247
3,2.5e-06,376.7081214337
4,3.3333333333333e-06,502.27749524494
5,4.1666666666667e-06,627.84686905616
6,5e-06,753.41624286739
7,5.8333333333333e-06,878.98561667863
8,6.6666666666667e-06,1004.5549904899
9,7.5e-06,1130.1243643011
10,8.3333333333333e-06,1255.6937381123
11,9.1666666666667e-06,1381.2631119235
12,1e-05,1506.8324857348
13,1.0833333333333e-05,1632.401859546
14,1.1666666666667e-05,1757.9712333572
15,1.25e-05,1883.5406071685
16,1.3333333333333e-05,2009.1099809797
17,1.4166666666667e-05,2134.6793547909
18,1.5e-05,2260.2487286021
19,1.5833333333333e-05,2385.8181024133
20,1.6666666666667e-05,2511.3874762245
21,1.75e-05,2636.9568500357
22,1.8333333333333e-05,2762.526223847
23,1.9166666666667e-05,2888.0955976582
24,2e-05,3013.6649714694
