time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,2.0833333333333e-06,290.57499806586,33710514.012435
2,4.1666666666667e-06,581.12118620361,67415084.453842
3,6.25e-06,871.63856611982,101113524.70304
4,8.3333333333333e-06,1162.1271395496,134805901.39941
5,1.0416666666667e-05,1452.5869082193,168492217.86351
6,1.25e-05,1742.9783069057,200900782.02806
7,1.4583333333333e-05,2031.296590119,209110468.56562
8,1.6666666666667e-05,2315.3688647878,206508868.05008
9,1.875e-05,2593.6639185064,207443742.93667
10,2.0833333333333e-05,2865.0271474264,207037667.29955
11,2.2916666666667e-05,3126.9538787203,208315446.05615
12,2.5e-05,3377.7958629657,209980651.08673
13,2.7083333333333e-05,3612.2677032253,209544047.78765
14,2.9166666666667e-05,3809.5438589399,209764088.09842
15,3.125e-05,3960.9818127939,210088956.14942
16,3.3333333333333e-05,4033.1734637864,210106791.99177
17,3.5416666666667e-05,4052.5185126988,210205253.35547
18,3.75e-05,4063.9391008249,211239025.37013
19,3.9583333333333e-05,4073.5107478854,212794424.55083
20,4.1666666666667e-05,4082.2656775527,214366483.44224
21,4.375e-05,4090.5062876075,215919082.33129
22,4.5833333333333e-05,4098.3298907321,217487548.00927
23,4.7916666666667e-05,4105.6923969762,219032153.07843
24,5e-05,4112.5080780097,220513886.60874
