time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,2.0833333333333e-06,290.5749980656,33710512.806013
2,4.1666666666667e-06,581.12118620352,67415084.453841
3,6.25e-06,871.63856611979,101113524.70305
4,8.3333333333333e-06,1162.1271395496,134805901.39941
5,1.0416666666667e-05,1452.5869082192,168492217.8635
6,1.25e-05,1743.0178738602,202172477.41257
7,1.4583333333333e-05,2033.4200382051,235846683.36091
8,1.6666666666667e-05,2322.4828107467,251267209.47829
9,1.875e-05,2608.1830379162,249161075.64831
10,2.0833333333333e-05,2889.6048752773,248553835.94533
11,2.2916666666667e-05,3165.7699682394,245430025.54078
12,2.5e-05,3435.658635307,246503595.04433
13,2.7083333333333e-05,3696.4493711612,247757744.11105
14,2.9166666666667e-05,3946.4753482414,249642334.88494
15,3.125e-05,4187.181424655,249351770.19355
16,3.3333333333333e-05,4386.2157404978,249266823.98048
17,3.5416666666667e-05,4511.464079433,249422251.15637
18,3.75e-05,4547.3871084454,249257968.35348
19,3.9583333333333e-05,4563.8762512126,250355982.10343
20,4.1666666666667e-05,4575.4289516599,252508802.63182
21,4.375e-05,4585.6788689854,255032785.06875
22,4.5833333333333e-05,4594.3094228911,257201586.44489
23,4.7916666666667e-05,4602.1364888975,259362608.4839
24,5e-05,4609.0828692044,261106831.15041
