time,disp_y_max,react_y_top
0,0,0
1,8.3333333333333e-07,85.646140797333
2,1.6666666666667e-06,171.29228159467
3,2.5e-06,256.938422392
4,3.3333333333333e-06,342.58456318933
5,4.1666666666667e-06,428.23070398666
6,5e-06,513.876844784
7,5.8333333333333e-06,599.52298558133
8,6.6666666666667e-06,685.16912637867
9,7.5e-06,770.815267176
10,8.3333333333333e-06,856.46140797333
11,9.1666666666667e-06,942.10754877068
12,1e-05,1027.753689568
13,1.0833333333333e-05,1113.3998303653
14,1.1666666666667e-05,1199.0459711627
15,1.25e-05,1284.69211196
16,1.3333333333333e-05,1370.3382527573
17,1.4166666666667e-05,1455.9843935547
18,1.5e-05,1541.630534352
19,1.5833333333333e-05,1627.2766751494
20,1.6666666666667e-05,1712.9228159467
21,1.75e-05,1798.568956744
22,1.8333333333333e-05,1884.2150975414
23,1.9166666666667e-05,1969.8612383387
24,2e-05,2055.507379136
