time,disp_y_max,react_y_top
0,0,0
1,8.3333333333333e-07,93.187025458699
2,1.6666666666667e-06,186.3740509174
3,2.5e-06,279.5610763761
4,3.3333333333333e-06,372.7481018348
5,4.1666666666667e-06,465.93512729349
6,5e-06,559.12215275219
7,5.8333333333333e-06,652.30917821089
8,6.6666666666667e-06,745.49620366959
9,7.5e-06,838.6832291283
10,8.3333333333333e-06,931.87025458699
11,9.1666666666667e-06,1025.0572800457
12,1e-05,1118.2443055044
13,1.0833333333333e-05,1211.4313309631
14,1.1666666666667e-05,1304.6183564218
15,1.25e-05,1397.8053818805
16,1.3333333333333e-05,1490.9924073392
17,1.4166666666667e-05,1584.1794327979
18,1.5e-05,1677.3664582566
19,1.5833333333333e-05,1770.5534837153
20,1.6666666666667e-05,1863.740509174
21,1.75e-05,1956.9275346327
22,1.8333333333333e-05,2050.1145600914
23,1.9166666666667e-05,2143.3015855501
24,2e-05,2236.4886110088
