time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,2.0833333333333e-06,214.10542430286,27914418.843126
2,4.1666666666667e-06,428.19099634828,55825358.2767
3,6.25e-06,642.2567170468,83732814.560273
4,8.3333333333333e-06,856.30258725454,111636788.05923
5,1.0416666666667e-05,1070.3286077784,139537278.2617
6,1.25e-05,1284.3347793795,167434284.76308
7,1.4583333333333e-05,1498.3211027782,195327807.25711
8,1.6666666666667e-05,1710.2065511807,215925373.41712
9,1.875e-05,1914.4495411044,218335277.75977
10,2.0833333333333e-05,2108.8777554007,207449941.98221
11,2.2916666666667e-05,2291.6207235414,207577270.78945
12,2.5e-05,2458.580832644,210046401.15223
13,2.7083333333333e-05,2605.9215017551,213169618.00969
14,2.9166666666667e-05,2728.2070308309,215499419.75889
15,3.125e-05,2787.3951731745,216503824.20181
16,3.3333333333333e-05,2824.8091934693,216981045.33635
17,3.5416666666667e-05,2855.6422317597,217226497.15942
18,3.75e-05,2883.246494233,217438667.03279
19,3.9583333333333e-05,2908.1156759196,217680889.71608
20,4.167983070231e-05,2930.4577389669,218123751.85676
21,4.380871229996e-05,2950.4076751681,218735784.3502
22,4.5935734600927e-05,2968.7931596448,219281993.23701
23,4.8060600281999e-05,2986.0508430288,219834012.76105
24,5.0183299960181e-05,3002.2176155002,219953130.87942
