time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,2.0833333333333e-06,214.10542430283,27914419.485056
2,4.1666666666667e-06,428.19099634825,55825358.276702
3,6.25e-06,642.25671704683,83732814.56028
4,8.3333333333333e-06,856.30258725451,111636788.05924
5,1.0416666666667e-05,1070.3286077783,139537278.26171
6,1.25e-05,1284.3347793794,167434284.76308
7,1.4583333333333e-05,1498.3211027781,195327807.25712
8,1.6666666666667e-05,1712.2813172598,223185461.13731
9,1.875e-05,1924.0033420889,243561293.54309
10,2.0833333333333e-05,2129.0014573779,247637862.59481
11,2.2916666666667e-05,2325.3986638366,238059007.22384
12,2.5e-05,2512.7321799475,235923787.66128
13,2.7083333333333e-05,2688.1963592853,238954046.51859
14,2.9166666666667e-05,2849.9096713051,240928661.0533
15,3.125e-05,2994.1313207125,243355384.96988
16,3.3333333333333e-05,3117.720865459,246031241.17535
17,3.5416666666667e-05,3214.3999986803,248098457.30813
18,3.75e-05,3276.5950669645,249402727.32095
19,3.9583333333333e-05,3312.3379408509,250025730.50889
20,4.1666666666667e-05,3339.982561144,250580865.62549
21,4.375e-05,3363.4852765543,251004870.47625
22,4.5833333333333e-05,3383.3288085675,251507455.02983
23,4.7916666666667e-05,3401.0108217138,252225136.88374
24,5e-05,3415.5484122111,252818375.09088
