time,disp_y_max,react_y_top
0,0,0
1,0.003125,401.08256394834
2,0.00625,802.14809578491
3,0.009375,1203.1965955097
4,0.0125,1604.2280631227
5,0.015625,2005.2424986239
6,0.01875,2406.2399020136
7,0.021875,2807.2202732914
8,0.025,3208.1836124574
9,0.028125,3609.1299195115
10,0.03125,4010.059194454
11,0.034375,4410.9714372849
12,0.0375,4811.866648004
13,0.040625,5212.7448266111
14,0.04375,5613.6059731067
15,0.046875,6014.45008749
16,0.05,6415.2771697622
17,0.053125,6816.0872199224
18,0.05625,7216.8802379707
19,0.059375,7617.6562239073
20,0.0625,8018.4151777319
21,0.065625,8419.1570994453
22,0.06875,8819.8819890468
23,0.071875,9220.5898465363
24,0.075,9621.2806719143
25,0.078125,10021.95446518
26,0.08125,10422.611226334
27,0.084375,10823.250955377
28,0.0875,11223.873652308
29,0.090625,11624.479317126
30,0.09375,12025.067949833
31,0.096875,12425.639550428
32,0.1,12826.194118912
