time,disp_y_max,react_y_top
0,0,0
1,0.003125,432.76721653406
2,0.00625,865.4913931041
3,0.009375,1298.1725313145
4,0.0125,1730.8106327694
5,0.015625,2163.4056990733
6,0.01875,2595.9577318306
7,0.021875,3028.4667326454
8,0.025,3460.9327031222
9,0.028125,3893.3556448652
10,0.03125,4325.7355594788
11,0.034375,4758.0724485675
12,0.0375,5190.3663137354
13,0.040625,5622.6171565867
14,0.04375,6054.824978726
15,0.046875,6486.9897817575
16,0.05,6919.1115672857
17,0.053125,7351.1903369148
18,0.05625,7783.2260922489
19,0.059375,8215.2188348927
20,0.0625,8647.1685664503
21,0.065625,9079.0752885263
22,0.06875,9510.9390027248
23,0.071875,9942.7597106502
24,0.075,10374.537413907
25,0.078125,10806.272114099
26,0.08125,11237.96381283
27,0.084375,11669.612511707
28,0.0875,12101.218212331
29,0.090625,12532.780916309
30,0.09375,12964.300625243
31,0.096875,13395.777340739
32,0.1,13827.211064401
