time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,3.125e-06,401.05946273229,49550293.609345
2,6.25e-06,802.047891169,99086391.132003
3,9.375e-06,1202.9652972265,148608865.49715
4,1.25e-05,1603.8116927584,198117541.35162
5,1.5625e-05,2001.5829716355,208534580.95585
6,1.875e-05,2390.3797380191,205830929.43662
7,2.1875e-05,2766.1416364149,209406143.41015
8,2.5e-05,3122.9852807376,209750156.89133
9,2.8125e-05,3449.1427963356,209724411.10005
10,3.125e-05,3691.7037299769,210142983.93634
11,3.4375e-05,3766.0960236134,210737710.80002
12,3.75e-05,3784.0288348911,211096420.26252
13,4.0625e-05,3797.1150718628,213254853.01741
14,4.375e-05,3809.0328591282,215588583.43985
15,4.6875e-05,3819.9318681666,217913890.30192
16,5e-05,3829.6807952396,220209697.61306
17,5.3125e-05,3838.8480306146,222438590.66116
18,5.625e-05,3847.4488097144,224576055.12345
19,5.9375e-05,3855.2954323267,226635430.0788
20,6.25e-05,3862.8810269411,228989936.4422
21,6.5625e-05,3870.1735193681,231393812.01772
22,6.875e-05,3877.1795194007,233764858.85674
23,7.1875e-05,3883.9132862937,236098193.0006
24,7.5e-05,3890.4292085301,238345572.82801
25,7.8125e-05,3896.7276750394,240266644.15842
26,8.125e-05,3902.896396657,242073221.18718
27,8.4375e-05,3908.9794857132,243832515.63879
28,8.75e-05,3914.9896434567,245544480.8128
29,9.0625e-05,3920.9170076222,247151654.91777
30,9.375e-05,3926.7481166712,248663755.8779
31,9.6875e-05,3932.5316075568,250139593.27028
32,0.0001,3938.2664206336,251582651.57059
