time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,3.125e-06,401.05946273191,49550298.187312
2,6.25e-06,802.04789116858,99086391.132002
3,9.375e-06,1202.965297226,148608865.49716
4,1.25e-05,1603.8116927579,198117541.35162
5,1.5625e-05,2004.420494137,242600449.77392
6,1.875e-05,2401.4631709887,248359560.41136
7,2.1875e-05,2790.7679295178,247051924.77883
8,2.5e-05,3169.2666048549,248913763.63936
9,2.8125e-05,3533.5902145641,249001272.68733
10,3.125e-05,3877.089674189,248996729.29268
11,3.4375e-05,4165.4617009652,249856772.92025
12,3.75e-05,4250.7037925369,249612800.99556
13,4.0625e-05,4271.8449500255,250944529.97763
14,4.375e-05,4286.8231982151,254083620.93849
15,4.6875e-05,4298.8430687319,257338637.15572
16,5e-05,4308.705514781,260629570.20963
17,5.3125e-05,4318.0119680903,263771595.85384
18,5.625e-05,4326.7078908459,266082382.17774
19,5.9375e-05,4334.8342767068,267526243.53689
20,6.25e-05,4342.531703462,269206168.46651
21,6.5625e-05,4349.9408004864,271064792.81348
22,6.875e-05,4357.0336706035,272270433.69069
23,7.1875e-05,4363.8924168406,272855372.91469
24,7.5e-05,4370.6160400332,273199000.21019
25,7.8125e-05,4377.1892185467,273367944.10541
26,8.125e-05,4383.5435221664,273277789.87597
27,8.4375e-05,4389.7675572829,272829022.91165
28,8.75e-05,4395.8616206349,274196283.37209
29,9.0625e-05,4401.857331574,275533633.30787
30,9.375e-05,4407.7791815389,276849755.64272
31,9.6875e-05,4413.6344493104,278153828.16245
32,0.0001,4419.4017598715,279509395.40984
