time,disp_y_max,react_y_top
0,0,0
1,0.003125,315.47152485612
2,0.00625,630.92137456433
3,0.009375,946.34954912465
4,0.0125,1261.756048537
5,0.015625,1577.1408728015
6,0.01875,1892.5040219181
7,0.021875,2207.8454958868
8,0.025,2523.1652947076
9,0.028125,2838.4634183804
10,0.03125,3153.7398669054
11,0.034375,3468.9946402825
12,0.0375,3784.2277385117
13,0.040625,4099.4391615929
14,0.04375,4414.6289095263
15,0.046875,4729.7969823116
16,0.05,5044.9433799492
17,0.053125,5360.0681024389
18,0.05625,5675.1711497805
19,0.059375,5990.2525219744
20,0.0625,6305.3122190202
21,0.065625,6620.3502409183
22,0.06875,6935.3665876685
23,0.071875,7250.3612592707
24,0.075,7565.3342557251
25,0.078125,7880.2855770312
26,0.08125,8195.2152231897
27,0.084375,8510.1231942003
28,0.0875,8825.0094900631
29,0.090625,9139.8741107779
30,0.09375,9454.7170563444
31,0.096875,9769.5383267635
32,0.1,10084.337922035
