time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,3.125e-06,290405.23415136,45274602.712145
1.5,4.6875e-06,435600.67568922,67904871.028949
2.1,6.5625e-06,609828.86115317,95058217.492059
2.82,8.8125e-06,818893.55849069,127635749.16151
3.684,1.15125e-05,1069758.0452282,166719455.4796
4.684,1.46375e-05,1359782.6680881,205228990.96282
5.684,1.77625e-05,1639404.959532,204302730.9962
6.684,2.08875e-05,1895236.4418274,202666887.105
7.684,2.40125e-05,2119039.6072762,204210000.81682
8.684,2.71375e-05,2304033.9855833,202873565.11338
9.684,3.02625e-05,2442522.2353251,203045507.04838
10.684,3.33875e-05,2498225.0961296,204352445.62588
11.684,3.65125e-05,2518765.3167973,206243055.85766
12.684,3.96375e-05,2533783.7536499,208096339.23735
13.684,4.27625e-05,2546561.4440142,209745527.72813
14.684,4.58875e-05,2558063.3422605,211261321.73638
15.684,4.90125e-05,2568568.6888696,212663423.2744
16.684,5.21375e-05,2578253.5468957,213956904.55787
17.684,5.52625e-05,2587279.6429665,215203477.65169
18.684,5.83875e-05,2595803.712138,216413733.05495
19.684,6.15125e-05,2603885.710394,217577539.4211
20.684,6.46375e-05,2611616.4696069,218702218.32719
21.684,6.77625e-05,2619064.6287877,219793005.28519
22.684,7.08875e-05,2626250.2389988,220847038.13578
23.684,7.4045121295304e-05,2633209.0951669,221875417.33258
24.684,7.7204230416242e-05,2639971.4823542,222891381.24136
25.684,8.0363106240724e-05,2646577.3990728,223883443.93776
26.684,8.3521246303787e-05,2653022.6756426,224855426.29013
27.684,8.6678564576082e-05,2659309.1531021,225807013.1113
28.684,8.983527475904e-05,2665475.1122948,226743022.21071
29.684,9.2991538747116e-05,2671508.9818803,227660161.59784
30.684,9.6147205864652e-05,2677424.1957747,228562306.42739
31.684,9.9302482589055e-05,2683230.2277632,229448962.92681
32,0.00010029950304793,2685047.8834361,229727198.73987
