time,disp_y_max,react_y_top,stress_vm_max
0,0,0,0
1,3.125e-06,290405.24359994,45273434.300551
1.5,4.6875e-06,435600.67568927,67904871.028945
2.1,6.5625e-06,609828.86115367,95058217.492071
2.82,8.8125e-06,818893.55849067,127635749.16151
3.684,1.15125e-05,1069758.0452283,166719455.47961
4.684,1.46375e-05,1360092.5346306,211942525.80209
5.684,1.77625e-05,1647676.7105402,231119142.93989
6.684,2.08875e-05,1920258.5480768,231897460.01314
7.684,2.40125e-05,2169298.0773899,232654217.91619
8.684,2.71375e-05,2388449.2082944,232622764.22687
9.684,3.02625e-05,2573615.7164613,232650245.62451
10.684,3.33875e-05,2721712.7394601,232698397.49484
11.684,3.65125e-05,2828162.288286,236736702.82571
12.684,3.96375e-05,2894130.0611068,240539119.51951
13.684,4.2905273945229e-05,2931728.1271352,240834137.6805
14.684,4.6201241091277e-05,2951375.2762661,241113557.90259
15.684,4.9454151676439e-05,2965052.9592913,242039210.59081
16.684,5.2694887770872e-05,2976794.2462269,242901342.65168
17.684,5.5926651665166e-05,2987151.5505795,243692471.10709
18.684,5.9154986691631e-05,2996589.6029328,244425906.4259
19.684,6.2380390993745e-05,3005410.0113237,245115814.24328
20.684,6.5603957693217e-05,3013682.7701442,245771688.53456
21.684,6.8825598227183e-05,3021522.7347168,246395943.5567
22.684,7.2046281580687e-05,3029132.6244603,246985889.99288
23.684,7.5266293827104e-05,3036037.6279495,247548611.22619
24.684,7.8485929920421e-05,3043010.5887768,248086559.5032
25.684,8.1704589508451e-05,3049365.3377286,248597775.04073
26.684,8.4923185338299e-05,3055794.778418,249090408.22289
27.684,8.8142163304786e-05,3061859.4830036,249566372.60359
28.684,9.1361669069424e-05,3067689.2972349,250028400.78582
29.684,9.4581569490978e-05,3073420.8061348,250817782.71201
30.684,9.7802245235422e-05,3079037.4080033,251672128.64497
31.684,0.00010102431952428,3084648.3747915,252506850.11813
32,0.00010204268891629,3086124.9200346,252767274.63557
