time,disp_y_max,react_y_top
0,0,0
1,3.125e-06,290.28871967283
2,6.25e-06,580.54942843071
3,9.375e-06,870.78212725082
4,1.25e-05,1160.9868171103
5,1.5625e-05,1451.1634989865
6,1.875e-05,1741.3121738565
7,2.1875e-05,2031.4328426975
8,2.5e-05,2321.5255064868
9,2.8125e-05,2611.5901662015
10,3.125e-05,2901.6268228188
11,3.4375e-05,3191.6354773159
12,3.75e-05,3481.6161306701
13,4.0625e-05,3771.5687838584
14,4.375e-05,4061.4934378581
15,4.6875e-05,4351.3900936466
16,5e-05,4641.2587522008
17,5.3125e-05,4931.099414498
18,5.625e-05,5220.9120815155
19,5.9375e-05,5510.6967542302
20,6.25e-05,5800.4534336197
21,6.5625e-05,6090.1821206611
22,6.875e-05,6379.8828163313
23,7.1875e-05,6669.5555216076
24,7.5e-05,6959.2002374676
25,7.8125e-05,7248.816964888
26,8.125e-05,7538.4057048464
27,8.4375e-05,7827.9664583195
28,8.75e-05,8117.4992262849
29,9.0625e-05,8407.0040097198
30,9.375e-05,8696.4808096012
31,9.6875e-05,8985.9296269065
32,0.0001,9275.3504626126
